"spinName", basePoint
"USpB", 1.00
"USp1", 1.20
"USp2", 1.50
"USp3", 1.90
"USp4", 2.40
"LSpB", 1.20
"LSp1", 1.50
"LSp2", 1.90
"LUSp3", 2.40
"LSp4", 2.70
"CSpB", 1.10
"CSp1", 1.40
"CSp2", 1.80
"CSp3", 2.30
"CSp4", 2.60
"SSpB", 1.10
"SSp1", 1.30
"SSp2", 1.60
"SSp3", 2.10
"SSp4", 2.50
"FUSpB", 1.50
"FUSp1", 1.70
"FUSp2", 2.00
"FUSp3", 2.40
"FUSp4", 2.90
"FUSpBV", 1.13
"FUSp1V", 1.28
"FUSp2V", 1.50
"FUSp3V", 1.80
"FUSp4V", 2.18
"FLSpB", 1.70
"FLSp1", 2.00
"FLSp2", 2.40
"FLSp3", 2.90
"FLSp4", 3.20
"FLSpBV", 1.28
"FLSp1V", 1.50
"FLSp2V", 1.80
"FLSp3V", 2.28
"FLSp4V", 2.40
"FCSpB", 1.60
"FCSp1", 1.90
"FCSp2", 2.30
"FCSp3", 2.80
"FCSp4", 3.20
"FCSpBV", 1.20
"FCSp1V", 1.43
"FCSp2V", 1.73
"FCSp3V", 2.10
"FCSp4V", 2.40
"FSSpB", 1.70
"FSSp1", 2.00
"FSSp2", 2.30
"FSSp3", 2.60
"FSSp4", 3.00
"FSSpBV", 1.28
"FSSp1V", 1.50
"FSSp2V", 1.73
"FSSp3V", 1.95
"FSSp4V", 2.25
"CUSpB", 1.50
"CUSp1", 1.70
"CUSp2", 2.00
"CUSp3", 2.40
"CUSp4", 2.90
"CUSpBV", 1.13
"CUSp1V", 1.28
"CUSp2V", 1.50
"CUSp3V", 1.80
"CUSp4V", 2.18
"FCUSpB", 1.50
"FCUSp1", 1.70
"FCUSp2", 2.00
"FCUSp3", 2.40
"FCUSp4", 2.90
"FCUSpBV", 1.13
"FCUSp1V", 1.28
"FCUSp2V", 1.50
"FCUSp3V", 1.80
"FCUSp4V", 2.18
"CLSpB", 1.70
"CLSp1", 2.00
"CLSp2", 2.40
"CLSp3", 2.90
"CLSp4", 3.20
"CLSpBV", 1.28
"CLSp1V", 1.50
"CLSp2V", 1.80
"CLSp3V", 2.18
"CLSp4V", 2.40
"FCLSpB", 1.70
"FCLSp1", 2.00
"FCLSp2", 2.40
"FCLSp3", 2.90
"FCLSp4", 3.20
"FCLSpBV", 1.28
"FCLSp1V", 1.50
"FCLSp2V", 1.80
"FCLSp3V", 2.18
"FCLSp4V", 2.40
"CCSpB", 1.70
"CCSp1", 2.00
"CCSp2", 2.30
"CCSp3", 2.80
"CCSp4", 3.20
"CCSpBV", 1.28
"CCSp1V", 1.50
"CCSp2V", 1.73
"CCSp3V", 2.10
"CCSp4V", 2.40
"FCCSpB", 1.70
"FCCSp1", 2.00
"FCCSp2", 2.30
"FCCSp3", 2.80
"FCCSp4", 3.20
"FCCSpBV", 1.28
"FCCSp1V", 1.50
"FCCSp2V", 1.73
"FCCSp3V", 2.10
"FCCSp4V", 2.40
"CSSpB", 1.60
"CSSp1", 1.90
"CSSp2", 2.30
"CSSp3", 2.60
"CSSp4", 3.00
"CSSpBV", 1.20
"CSSp1V", 1.43
"CSSp2V", 1.73
"CSSp3V", 1.95
"CSSp4V", 2.25
"FCSSpB", 1.60
"FCSSp1", 1.90
"FCSSp2", 2.30
"FCSSp3", 2.60
"FCSSp4", 3.00
"FCSSpBV", 1.20
"FCSSp1V", 1.43
"FCSSp2V", 1.73
"FCSSp3V", 1.95
"FCSSp4V", 2.25
"CoSpB", 1.50
"CoSp1", 1.70
"CoSp2", 2.00
"CoSp3", 2.50
"CoSp4", 3.00
"CoSpBV", 1.13
"CoSp1V", 1.28
"CoSp2V", 1.50
"CoSp3V", 1.88
"CoSp4V", 2.25
"FCoSpB", 1.50
"FCoSp1", 1.70
"FCoSp2", 2.00
"FCoSp3", 2.50
"FCoSp4", 3.00
"FCoSpBV", 1.13
"FCoSp1V", 1.28
"FCoSp2V", 1.50
"FCoSp3V", 1.88
"FCoSp4V", 2.25
"CCoSpB", 1.70
"CCoSp1", 2.00
"CCoSp2", 2.50
"CCoSp3", 3.00
"CCoSp4", 3.50
"CCoSpBV", 1.28
"CCoSp1V", 1.50
"CCoSp2V", 1.88
"CCoSp3V", 1.25
"CCoSp4V", 2.63
"FCCoSpB", 1.70
"FCCoSp1", 2.00
"FCCoSp2", 2.50
"FCCoSp3", 3.00
"FCCoSp4", 3.50
"FCCoSpBV", 1.28
"FCCoSp1V", 1.50
"FCCoSp2V", 1.88
"FCCoSp3V", 1.25
"FCCoSp4V", 2.63
